match_id,home_name,away_name,league,match_date,home_goals,away_goals,total_goals,goal_diff,ah_line,fav_side,line_mag,ticks,zone,ou_line,ah_outcome,ah_payout,ah_fav_covered,ou_outcome,ou_payout,ah_open,ah_close,ah_delta,delta_ticks,h2h_stadium_cover,h2h_general_cover,prev_home_shots_diff,prev_home_sot_diff,prev_home_danger_diff,prev_home_attacks_diff,prev_home_wdl,prev_away_shots_diff,prev_away_sot_diff,prev_away_danger_diff,prev_away_attacks_diff,prev_away_wdl,ind_local_localia,ind_local_ah,ind_local_danger_diff,ind_visitante_localia,ind_visitante_ah,ind_visitante_danger_diff,home_rank,away_rank,rank_diff,prev_home_danger_diff_bin,prev_away_danger_diff_bin,ind_local_danger_diff_bin,ind_visitante_danger_diff_bin,ticks_bin,delta_bin
2787070,Fasil Kenema,Adama City,Ethiopia Premier League,6/15/2025,2,2,4,0,0.0,HOME,0.0,0,PICK_EM,2.0,P,0.0,0,OVER_W,1.0,0.0,0.0,0.0,0,PUSH,PUSH,1,-2,14,11,L,-1,2,28,11,W,A,-0.25,6,H,-0.5,33,99,99,0,pos,muy_pos,pos,muy_pos,low,drop
2787831,Bahir Dar Kenema FC,Hawassa City FC,Ethiopia Premier League,6/16/2025,0,3,3,-3,0.25,HOME,0.25,1,PICK_EM,2.25,L,-1.0,-1,OVER_W,1.0,0.75,0.25,-0.5,-2,COVER,COVER,0,-3,21,15,L,6,2,4,-12,W,,,0,A,0.25,-56,99,99,0,muy_pos,neutro,neutro,muy_neg,low,strong_drop
2787832,Sidama Bunna,Arba Minch,Ethiopia Premier League,6/16/2025,0,0,0,0,0.5,HOME,0.5,2,MUST_WIN,2.25,W,1.0,1,UNDER_W,1.0,0.0,0.5,0.5,2,COVER,COVER,1,2,25,-19,D,0,3,-21,-15,W,H,-0.25,-16,A,0.0,-4,99,99,0,muy_pos,muy_neg,neg,neutro,low,rise
2793057,Ethiopia Bunna,Ethiopia Nigd Bank,Ethiopia Premier League,6/22/2025,2,2,4,0,0.0,HOME,0.0,0,PICK_EM,2.0,P,0.0,0,OVER_W,1.0,-0.25,0.0,0.25,1,PUSH,PUSH,5,2,-1,2,W,1,1,-16,-2,D,A,0.0,-2,A,-0.25,-18,99,99,0,neutro,neg,neutro,neg,low,rise
2793058,Kedus Giorgis,Mekelakeya,Ethiopia Premier League,6/22/2025,1,1,2,0,-0.25,AWAY,0.25,1,PICK_EM,1.75,HL,-0.5,-1,OVER_HW,0.5,0.25,-0.25,-0.5,-2,NO_COVER,NO_COVER,-7,-3,1,10,L,-3,-4,13,53,L,,,0,A,-0.25,-8,99,99,0,neutro,pos,neutro,neg,low,strong_drop
2793576,Wolaita Dicha,Dire Dawa,Ethiopia Premier League,6/23/2025,1,0,1,1,0.0,HOME,0.0,0,PICK_EM,1.75,W,1.0,1,UNDER_W,1.0,-0.25,0.0,0.25,1,PUSH,PUSH,5,-2,26,-35,L,-1,-2,-25,19,D,A,0.25,-49,H,-0.5,32,99,99,0,muy_pos,muy_neg,muy_neg,muy_pos,low,rise
2794292,Bahir Dar Kenema FC,Welwalo Adigrat,Ethiopia Premier League,6/25/2025,3,0,3,3,1.0,HOME,1.0,4,WIN_BY_1,2.25,W,1.0,1,OVER_W,1.0,1.0,1.0,0.0,0,,,-9,-6,31,28,L,-3,-2,-37,-22,L,A,0.0,0,H,-0.75,4,99,99,0,muy_pos,muy_neg,neutro,neutro,mid,drop
2793666,Hawassa City FC,Adama City,Ethiopia Premier League,6/24/2025,2,1,3,1,0.25,HOME,0.25,1,PICK_EM,2.25,W,1.0,1,OVER_W,1.0,0.0,0.25,0.25,1,NO_COVER,NO_COVER,5,-1,10,-42,D,-1,1,-6,-8,D,H,0.0,10,A,0.0,-6,99,99,0,pos,neg,pos,neg,low,rise
2793577,Hadiya Hossana,Arba Minch,Ethiopia Premier League,6/23/2025,0,1,1,-1,0.0,HOME,0.0,0,PICK_EM,2.0,L,-1.0,-1,UNDER_W,1.0,0.25,0.0,-0.25,-1,COVER,COVER,1,2,14,7,D,-5,-2,-28,-30,D,A,0.0,-17,A,0.5,-23,99,99,0,pos,muy_neg,neg,muy_neg,low,drop
2793667,Fasil Kenema,Sidama Bunna,Ethiopia Premier League,6/24/2025,1,1,2,0,0.0,HOME,0.0,0,PICK_EM,1.75,P,0.0,0,OVER_HW,0.5,0.5,0.0,-0.5,-2,PUSH,PUSH,1,-1,6,8,D,1,-4,9,9,L,A,0.0,36,H,0.5,0,99,99,0,pos,pos,muy_pos,neutro,low,strong_drop
