main_match_id,source_key,date,home_team,away_team,home_goals,away_goals,ah,cover_status,home_tiros,away_tiros,home_tiros_a_puerta,away_tiros_a_puerta,home_ataques,away_ataques,home_ataques_peligrosos,away_ataques_peligrosos,home_red_cards,away_red_cards
2840803,last_home,25-10-2025,Cavese,Crotone,1.0,0.0,-0.25,CUBIERTO,5.0,9.0,2.0,3.0,124.0,269.0,36.0,107.0,,
2840803,last_away,26-10-2025,Cosenza Calcio 1914,Potenza,3.0,0.0,0.75,indeterminado,,,,,,,,,,
2840803,h2h_col3,,Crotone,Cosenza Calcio 1914,0.0,0.0,-,indeterminado,13.0,11.0,3.0,1.0,112.0,97.0,72.0,55.0,,
2840803,h2h_general,,Potenza,Cavese,1.0,0.0,0.25,NO CUBIERTO,12.0,12.0,6.0,3.0,99.0,98.0,28.0,57.0,,
2850508,last_home,19-09-2025,Hantharwady United,Yarmanya United FC,6.0,0.0,2,indeterminado,14.0,5.0,12.0,1.0,87.0,80.0,52.0,31.0,,
2850508,last_away,26-08-2025,Dagon Port,Shan United,0.0,3.0,-2.75,CUBIERTO,,,,,,,,,,
2850508,h2h_general,,Shan United,Hantharwady United,4.0,0.0,1.25,CUBIERTO,9.0,1.0,9.0,1.0,77.0,76.0,62.0,47.0,,
2858439,last_home,25-09-2025,Gualaceo SC,San Antonio(ECU),2.0,2.0,0.5,NO CUBIERTO,16.0,15.0,7.0,7.0,76.0,66.0,70.0,64.0,,
2858439,last_away,17-09-2025,San Antonio(ECU),Leones del Norte,1.0,1.0,0.25,indeterminado,10.0,15.0,1.0,7.0,66.0,72.0,34.0,64.0,,
2858439,h2h_general,,Leones del Norte,Gualaceo SC,1.0,2.0,0.75,CUBIERTO,15.0,5.0,5.0,3.0,95.0,63.0,81.0,42.0,0.0,1.0
2860747,last_home,02-10-2025,FC Macarthur,Beijing Guoan,3.0,0.0,0.25,CUBIERTO,12.0,6.0,6.0,2.0,87.0,118.0,55.0,50.0,,
2860747,last_away,18-09-2025,Beijing Guoan,Cong An Ha Noi,2.0,2.0,0.75,indeterminado,8.0,23.0,2.0,7.0,66.0,82.0,28.0,79.0,,
